Epochs 000, train loss: 1.38, train acc: -0.42, valid loss: 1.44, valid acc: -0.85, test loss: 1.44, test acc: -0.78
Epochs 001, train loss: 1.29, train acc: -0.00, valid loss: 1.32, valid acc: 0.00, test loss: 1.32, test acc: 0.00
Epochs 002, train loss: 1.25, train acc: -0.00, valid loss: 1.25, valid acc: 0.00, test loss: 1.26, test acc: 0.00
Epochs 003, train loss: 1.24, train acc: -0.00, valid loss: 1.22, valid acc: 0.00, test loss: 1.24, test acc: 0.00
Epochs 004, train loss: 1.23, train acc: -0.00, valid loss: 1.21, valid acc: 0.00, test loss: 1.23, test acc: 0.00
Epochs 005, train loss: 1.23, train acc: 0.00, valid loss: 1.21, valid acc: 0.00, test loss: 1.23, test acc: 0.00
Epochs 006, train loss: 1.22, train acc: 0.00, valid loss: 1.21, valid acc: 0.00, test loss: 1.22, test acc: 0.00
Epochs 007, train loss: 1.22, train acc: 0.00, valid loss: 1.20, valid acc: 0.00, test loss: 1.22, test acc: 0.00
Epochs 008, train loss: 1.21, train acc: -0.00, valid loss: 1.20, valid acc: 0.00, test loss: 1.21, test acc: 0.00
Epochs 009, train loss: 1.20, train acc: 0.00, valid loss: 1.19, valid acc: 0.00, test loss: 1.21, test acc: 0.00
Epochs 010, train loss: 1.20, train acc: 0.00, valid loss: 1.18, valid acc: 0.00, test loss: 1.20, test acc: 0.00
Epochs 011, train loss: 1.19, train acc: -0.00, valid loss: 1.18, valid acc: 0.00, test loss: 1.19, test acc: 0.00
Epochs 012, train loss: 1.18, train acc: -0.00, valid loss: 1.17, valid acc: 0.00, test loss: 1.18, test acc: 0.00
Epochs 013, train loss: 1.17, train acc: 0.00, valid loss: 1.16, valid acc: 0.00, test loss: 1.17, test acc: 0.00
Epochs 014, train loss: 1.15, train acc: -0.00, valid loss: 1.14, valid acc: 0.00, test loss: 1.15, test acc: 0.00
