Epochs 000, train loss: 1.43, train acc: -0.68, valid loss: 1.45, valid acc: -0.76, test loss: 1.45, test acc: -0.70
Epochs 001, train loss: 1.40, train acc: -0.73, valid loss: 1.42, valid acc: -0.76, test loss: 1.42, test acc: -0.70
Epochs 002, train loss: 1.38, train acc: 0.02, valid loss: 1.39, valid acc: -0.85, test loss: 1.39, test acc: -0.78
Epochs 003, train loss: 1.36, train acc: 0.12, valid loss: 1.37, valid acc: 0.16, test loss: 1.37, test acc: 0.16
Epochs 004, train loss: 1.34, train acc: 0.05, valid loss: 1.35, valid acc: 0.06, test loss: 1.35, test acc: 0.06
Epochs 005, train loss: 1.33, train acc: 0.04, valid loss: 1.33, valid acc: 0.05, test loss: 1.33, test acc: 0.05
Epochs 006, train loss: 1.31, train acc: 0.04, valid loss: 1.31, valid acc: 0.04, test loss: 1.32, test acc: 0.04
Epochs 007, train loss: 1.30, train acc: 0.04, valid loss: 1.30, valid acc: 0.04, test loss: 1.30, test acc: 0.04
Epochs 008, train loss: 1.29, train acc: 0.03, valid loss: 1.29, valid acc: 0.04, test loss: 1.29, test acc: 0.04
Epochs 009, train loss: 1.28, train acc: 0.02, valid loss: 1.27, valid acc: 0.02, test loss: 1.28, test acc: 0.02
Epochs 010, train loss: 1.27, train acc: 0.02, valid loss: 1.26, valid acc: 0.02, test loss: 1.27, test acc: 0.02
Epochs 011, train loss: 1.26, train acc: 0.02, valid loss: 1.25, valid acc: 0.02, test loss: 1.26, test acc: 0.02
Epochs 012, train loss: 1.25, train acc: 0.02, valid loss: 1.24, valid acc: 0.02, test loss: 1.25, test acc: 0.02
Epochs 013, train loss: 1.24, train acc: 0.02, valid loss: 1.24, valid acc: 0.02, test loss: 1.25, test acc: 0.02
Epochs 014, train loss: 1.24, train acc: 0.01, valid loss: 1.23, valid acc: 0.02, test loss: 1.24, test acc: 0.02
