Epochs 000, train loss: 1.49, train acc: -0.64, valid loss: 1.51, valid acc: -0.72, test loss: 1.51, test acc: -0.66
Epochs 001, train loss: 1.47, train acc: -0.64, valid loss: 1.49, valid acc: -0.72, test loss: 1.49, test acc: -0.66
Epochs 002, train loss: 1.45, train acc: -0.64, valid loss: 1.47, valid acc: -0.72, test loss: 1.47, test acc: -0.66
Epochs 003, train loss: 1.44, train acc: -0.64, valid loss: 1.45, valid acc: -0.72, test loss: 1.45, test acc: -0.66
Epochs 004, train loss: 1.42, train acc: -0.64, valid loss: 1.43, valid acc: -0.72, test loss: 1.43, test acc: -0.66
Epochs 005, train loss: 1.41, train acc: -0.64, valid loss: 1.42, valid acc: -0.72, test loss: 1.42, test acc: -0.66
Epochs 006, train loss: 1.39, train acc: -0.63, valid loss: 1.40, valid acc: -0.72, test loss: 1.40, test acc: -0.66
Epochs 007, train loss: 1.38, train acc: -0.64, valid loss: 1.39, valid acc: -0.72, test loss: 1.39, test acc: -0.66
Epochs 008, train loss: 1.37, train acc: -0.64, valid loss: 1.38, valid acc: -0.72, test loss: 1.38, test acc: -0.66
Epochs 009, train loss: 1.36, train acc: -0.69, valid loss: 1.36, valid acc: -0.73, test loss: 1.37, test acc: -0.67
Epochs 010, train loss: 1.35, train acc: -0.76, valid loss: 1.35, valid acc: -0.82, test loss: 1.36, test acc: -0.75
Epochs 011, train loss: 1.34, train acc: 0.20, valid loss: 1.34, valid acc: 0.20, test loss: 1.35, test acc: 0.20
Epochs 012, train loss: 1.33, train acc: 0.11, valid loss: 1.33, valid acc: 0.17, test loss: 1.34, test acc: 0.17
Epochs 013, train loss: 1.32, train acc: 0.04, valid loss: 1.32, valid acc: 0.04, test loss: 1.33, test acc: 0.05
Epochs 014, train loss: 1.31, train acc: 0.03, valid loss: 1.31, valid acc: 0.04, test loss: 1.32, test acc: 0.05
