Epochs 000, train loss: 1.40, train acc: -0.64, valid loss: 1.40, valid acc: -0.72, test loss: 1.40, test acc: -0.66
Epochs 001, train loss: 1.39, train acc: -0.64, valid loss: 1.40, valid acc: -0.72, test loss: 1.40, test acc: -0.66
Epochs 002, train loss: 1.39, train acc: -0.63, valid loss: 1.39, valid acc: -0.72, test loss: 1.39, test acc: -0.66
Epochs 003, train loss: 1.39, train acc: -0.64, valid loss: 1.39, valid acc: -0.72, test loss: 1.39, test acc: -0.66
Epochs 004, train loss: 1.39, train acc: -0.64, valid loss: 1.39, valid acc: -0.72, test loss: 1.39, test acc: -0.66
Epochs 005, train loss: 1.38, train acc: -0.64, valid loss: 1.39, valid acc: -0.72, test loss: 1.39, test acc: -0.66
Epochs 006, train loss: 1.38, train acc: -0.64, valid loss: 1.38, valid acc: -0.72, test loss: 1.38, test acc: -0.66
Epochs 007, train loss: 1.38, train acc: -0.64, valid loss: 1.38, valid acc: -0.72, test loss: 1.38, test acc: -0.66
Epochs 008, train loss: 1.38, train acc: -0.64, valid loss: 1.38, valid acc: -0.72, test loss: 1.38, test acc: -0.66
Epochs 009, train loss: 1.37, train acc: -0.65, valid loss: 1.37, valid acc: -0.73, test loss: 1.38, test acc: -0.67
Epochs 010, train loss: 1.37, train acc: -0.65, valid loss: 1.37, valid acc: -0.73, test loss: 1.37, test acc: -0.67
Epochs 011, train loss: 1.37, train acc: -0.67, valid loss: 1.37, valid acc: -0.75, test loss: 1.37, test acc: -0.69
Epochs 012, train loss: 1.37, train acc: -0.69, valid loss: 1.37, valid acc: -0.78, test loss: 1.37, test acc: -0.71
Epochs 013, train loss: 1.36, train acc: -0.71, valid loss: 1.36, valid acc: -0.78, test loss: 1.37, test acc: -0.71
Epochs 014, train loss: 1.36, train acc: -0.72, valid loss: 1.36, valid acc: -0.80, test loss: 1.36, test acc: -0.73
