Epochs 000, train loss: 1.21, train acc: -0.04, valid loss: 1.38, valid acc: -0.63, test loss: 1.38, test acc: -0.56
Epochs 001, train loss: 0.96, train acc: 0.19, valid loss: 1.11, valid acc: 0.09, test loss: 1.12, test acc: 0.09
Epochs 002, train loss: 0.61, train acc: 0.43, valid loss: 0.69, valid acc: 0.39, test loss: 0.71, test acc: 0.39
Epochs 003, train loss: 0.53, train acc: 0.48, valid loss: 0.52, valid acc: 0.47, test loss: 0.54, test acc: 0.47
Epochs 004, train loss: 0.52, train acc: 0.48, valid loss: 0.51, valid acc: 0.47, test loss: 0.53, test acc: 0.47
Epochs 005, train loss: 0.52, train acc: 0.49, valid loss: 0.50, valid acc: 0.48, test loss: 0.52, test acc: 0.48
Epochs 006, train loss: 0.51, train acc: 0.49, valid loss: 0.50, valid acc: 0.48, test loss: 0.51, test acc: 0.48
Epochs 007, train loss: 0.51, train acc: 0.50, valid loss: 0.49, valid acc: 0.49, test loss: 0.51, test acc: 0.49
Epochs 008, train loss: 0.51, train acc: 0.50, valid loss: 0.49, valid acc: 0.50, test loss: 0.50, test acc: 0.50
Epochs 009, train loss: 0.50, train acc: 0.51, valid loss: 0.48, valid acc: 0.51, test loss: 0.50, test acc: 0.51
Epochs 010, train loss: 0.50, train acc: 0.50, valid loss: 0.49, valid acc: 0.48, test loss: 0.51, test acc: 0.49
Epochs 011, train loss: 0.50, train acc: 0.50, valid loss: 0.48, valid acc: 0.50, test loss: 0.50, test acc: 0.50
Epochs 012, train loss: 0.50, train acc: 0.51, valid loss: 0.49, valid acc: 0.50, test loss: 0.50, test acc: 0.50
Epochs 013, train loss: 0.50, train acc: 0.51, valid loss: 0.49, valid acc: 0.50, test loss: 0.50, test acc: 0.50
Epochs 014, train loss: 0.49, train acc: 0.52, valid loss: 0.48, valid acc: 0.51, test loss: 0.49, test acc: 0.51
