Epochs 000, train loss: 1.34, train acc: -0.17, valid loss: 1.44, valid acc: -0.72, test loss: 1.44, test acc: -0.66
Epochs 001, train loss: 1.21, train acc: 0.00, valid loss: 1.22, valid acc: 0.00, test loss: 1.23, test acc: 0.00
Epochs 002, train loss: 1.16, train acc: 0.05, valid loss: 1.16, valid acc: 0.00, test loss: 1.17, test acc: 0.00
Epochs 003, train loss: 1.06, train acc: 0.16, valid loss: 1.03, valid acc: 0.30, test loss: 1.03, test acc: 0.30
Epochs 004, train loss: 0.98, train acc: 0.27, valid loss: 0.94, valid acc: 0.30, test loss: 0.96, test acc: 0.30
Epochs 005, train loss: 0.85, train acc: 0.31, valid loss: 0.89, valid acc: 0.28, test loss: 0.92, test acc: 0.28
Epochs 006, train loss: 1.11, train acc: 0.12, valid loss: 1.29, valid acc: -0.60, test loss: 1.28, test acc: -0.53
Epochs 007, train loss: 0.85, train acc: 0.34, valid loss: 0.91, valid acc: 0.40, test loss: 0.92, test acc: 0.41
Epochs 008, train loss: 0.79, train acc: 0.38, valid loss: 0.79, valid acc: 0.40, test loss: 0.80, test acc: 0.40
Epochs 009, train loss: 1.04, train acc: 0.41, valid loss: 0.73, valid acc: 0.41, test loss: 0.75, test acc: 0.41
Epochs 010, train loss: 1.19, train acc: 0.09, valid loss: 1.57, valid acc: -0.65, test loss: 1.56, test acc: -0.59
Epochs 011, train loss: 0.97, train acc: 0.30, valid loss: 0.95, valid acc: 0.13, test loss: 0.98, test acc: 0.13
Epochs 012, train loss: 0.85, train acc: 0.34, valid loss: 0.82, valid acc: 0.34, test loss: 0.84, test acc: 0.33
Epochs 013, train loss: 0.76, train acc: 0.39, valid loss: 0.76, valid acc: 0.39, test loss: 0.78, test acc: 0.40
Epochs 014, train loss: 0.82, train acc: 0.30, valid loss: 0.70, valid acc: 0.41, test loss: 0.73, test acc: 0.41
