Epochs 000, train loss: 1.33, train acc: -0.21, valid loss: 1.48, valid acc: -0.80, test loss: 1.48, test acc: -0.74
Epochs 001, train loss: 1.22, train acc: -0.00, valid loss: 1.20, valid acc: 0.00, test loss: 1.22, test acc: 0.00
Epochs 002, train loss: 1.20, train acc: 0.00, valid loss: 1.19, valid acc: 0.00, test loss: 1.20, test acc: 0.00
Epochs 003, train loss: 1.17, train acc: 0.00, valid loss: 1.17, valid acc: 0.00, test loss: 1.18, test acc: 0.00
Epochs 004, train loss: 1.12, train acc: 0.06, valid loss: 1.14, valid acc: 0.00, test loss: 1.15, test acc: 0.00
Epochs 005, train loss: 1.06, train acc: 0.26, valid loss: 1.04, valid acc: 0.14, test loss: 1.05, test acc: 0.14
Epochs 006, train loss: 1.13, train acc: 0.24, valid loss: 1.02, valid acc: 0.15, test loss: 1.06, test acc: 0.15
Epochs 007, train loss: 1.10, train acc: 0.16, valid loss: 1.07, valid acc: 0.08, test loss: 1.10, test acc: 0.08
Epochs 008, train loss: 1.08, train acc: 0.08, valid loss: 1.06, valid acc: 0.08, test loss: 1.08, test acc: 0.08
Epochs 009, train loss: 1.05, train acc: 0.15, valid loss: 1.05, valid acc: 0.18, test loss: 1.06, test acc: 0.18
Epochs 010, train loss: 1.02, train acc: 0.16, valid loss: 1.02, valid acc: 0.08, test loss: 1.04, test acc: 0.08
Epochs 011, train loss: 0.97, train acc: 0.21, valid loss: 0.98, valid acc: 0.18, test loss: 1.00, test acc: 0.18
Epochs 012, train loss: 0.92, train acc: 0.29, valid loss: 0.93, valid acc: 0.24, test loss: 0.94, test acc: 0.24
Epochs 013, train loss: 0.85, train acc: 0.34, valid loss: 0.86, valid acc: 0.34, test loss: 0.88, test acc: 0.34
Epochs 014, train loss: 0.80, train acc: 0.37, valid loss: 0.77, valid acc: 0.34, test loss: 0.79, test acc: 0.35
Epochs 015, train loss: 0.71, train acc: 0.39, valid loss: 0.75, valid acc: 0.42, test loss: 0.76, test acc: 0.43
Epochs 016, train loss: 4.98, train acc: 0.05, valid loss: 0.66, valid acc: 0.43, test loss: 0.67, test acc: 0.44
Epochs 017, train loss: nan, train acc: -0.21, valid loss: 0.92, valid acc: 0.25, test loss: 0.95, test acc: 0.25
