Epochs 000, train loss: 0.91, train acc: 0.55, valid loss: 1.49, valid acc: 0.07, test loss: 1.46, test acc: 0.14
Epochs 001, train loss: 0.90, train acc: 0.56, valid loss: 0.90, valid acc: 0.51, test loss: 0.91, test acc: 0.46
Epochs 002, train loss: 0.89, train acc: 0.56, valid loss: 0.91, valid acc: 0.47, test loss: 0.92, test acc: 0.46
Epochs 003, train loss: 0.89, train acc: 0.56, valid loss: 0.93, valid acc: 0.49, test loss: 0.94, test acc: 0.45
Epochs 004, train loss: 0.89, train acc: 0.57, valid loss: 0.85, valid acc: 0.54, test loss: 0.90, test acc: 0.49
Epochs 005, train loss: 0.89, train acc: 0.57, valid loss: 0.86, valid acc: 0.55, test loss: 0.90, test acc: 0.51
Epochs 006, train loss: 0.89, train acc: 0.56, valid loss: 0.86, valid acc: 0.53, test loss: 0.88, test acc: 0.53
Epochs 007, train loss: 0.88, train acc: 0.57, valid loss: 0.83, valid acc: 0.60, test loss: 0.88, test acc: 0.52
Epochs 008, train loss: 0.88, train acc: 0.57, valid loss: 0.87, valid acc: 0.54, test loss: 0.89, test acc: 0.49
Epochs 009, train loss: 0.88, train acc: 0.57, valid loss: 1.00, valid acc: 0.44, test loss: 0.96, test acc: 0.43
Epochs 010, train loss: 0.88, train acc: 0.57, valid loss: 0.90, valid acc: 0.49, test loss: 0.93, test acc: 0.49
Epochs 011, train loss: 0.89, train acc: 0.57, valid loss: 0.80, valid acc: 0.56, test loss: 0.87, test acc: 0.55
Epochs 012, train loss: 0.88, train acc: 0.57, valid loss: 0.84, valid acc: 0.56, test loss: 0.87, test acc: 0.51
Epochs 013, train loss: 0.88, train acc: 0.57, valid loss: 0.81, valid acc: 0.58, test loss: 0.86, test acc: 0.51
Epochs 014, train loss: 0.88, train acc: 0.57, valid loss: 0.86, valid acc: 0.54, test loss: 0.89, test acc: 0.48
