Epochs 000, train loss: 0.64, train acc: 0.41, valid loss: 1.40, valid acc: -0.87, test loss: 1.40, test acc: -0.81
Epochs 001, train loss: 0.51, train acc: 0.54, valid loss: 0.51, valid acc: 0.52, test loss: 0.52, test acc: 0.52
Epochs 002, train loss: 0.49, train acc: 0.55, valid loss: 0.49, valid acc: 0.53, test loss: 0.50, test acc: 0.53
Epochs 003, train loss: 0.48, train acc: 0.55, valid loss: 0.47, valid acc: 0.55, test loss: 0.49, test acc: 0.55
Epochs 004, train loss: 0.48, train acc: 0.55, valid loss: 0.46, valid acc: 0.56, test loss: 0.48, test acc: 0.56
Epochs 005, train loss: 0.47, train acc: 0.56, valid loss: 0.46, valid acc: 0.55, test loss: 0.47, test acc: 0.56
Epochs 006, train loss: 0.47, train acc: 0.56, valid loss: 0.46, valid acc: 0.55, test loss: 0.47, test acc: 0.55
Epochs 007, train loss: 0.47, train acc: 0.56, valid loss: 0.45, valid acc: 0.56, test loss: 0.47, test acc: 0.56
