Epochs 000, train loss: 0.85, train acc: 0.52 (std 0.00), valid loss: 1.38, valid acc: 0.12 (std 0.02), test loss: 1.44, test acc: -0.08 (std nan)
Epochs 001, train loss: 0.82, train acc: 0.54 (std 0.00), valid loss: 0.83, valid acc: 0.52 (std 0.03), test loss: 0.72, test acc: 0.61 (std 0.03)
Epochs 002, train loss: 0.81, train acc: 0.55 (std 0.00), valid loss: 0.83, valid acc: 0.52 (std 0.03), test loss: 0.70, test acc: 0.61 (std 0.03)
Epochs 003, train loss: 0.81, train acc: 0.55 (std 0.00), valid loss: 0.85, valid acc: 0.52 (std 0.03), test loss: 0.69, test acc: 0.60 (std 0.03)
Epochs 004, train loss: 0.81, train acc: 0.55 (std 0.00), valid loss: 0.84, valid acc: 0.51 (std 0.03), test loss: 0.69, test acc: 0.61 (std 0.03)
Epochs 005, train loss: 0.81, train acc: 0.55 (std 0.00), valid loss: 0.87, valid acc: 0.52 (std 0.03), test loss: 0.69, test acc: 0.61 (std 0.03)
