Epochs 000, train loss: 0.94, train acc: 0.54 (std 0.00), valid loss: 1.49, valid acc: 0.21 (std 0.01), test loss: 1.57, test acc: 0.09 (std 0.01)
Epochs 001, train loss: 0.91, train acc: 0.55 (std 0.00), valid loss: 1.00, valid acc: 0.49 (std 0.01), test loss: 0.76, test acc: 0.65 (std 0.01)
Epochs 002, train loss: 0.91, train acc: 0.55 (std 0.00), valid loss: 0.95, valid acc: 0.53 (std 0.01), test loss: 0.77, test acc: 0.66 (std 0.01)
Epochs 003, train loss: 0.91, train acc: 0.56 (std 0.00), valid loss: 0.97, valid acc: 0.55 (std 0.01), test loss: 0.79, test acc: 0.65 (std 0.01)
Epochs 004, train loss: 0.91, train acc: 0.55 (std 0.00), valid loss: 0.98, valid acc: 0.52 (std 0.01), test loss: 0.78, test acc: 0.64 (std 0.01)
Epochs 005, train loss: 0.90, train acc: 0.56 (std 0.00), valid loss: 0.99, valid acc: 0.50 (std 0.01), test loss: 0.78, test acc: 0.65 (std 0.01)
Epochs 006, train loss: 0.90, train acc: 0.56 (std 0.00), valid loss: 0.96, valid acc: 0.53 (std 0.01), test loss: 0.77, test acc: 0.63 (std 0.01)
Epochs 007, train loss: 0.90, train acc: 0.56 (std 0.00), valid loss: 0.99, valid acc: 0.52 (std 0.01), test loss: 0.78, test acc: 0.62 (std 0.01)
Epochs 008, train loss: 0.90, train acc: 0.56 (std 0.00), valid loss: 0.95, valid acc: 0.53 (std 0.01), test loss: 0.77, test acc: 0.65 (std 0.01)
Epochs 009, train loss: 0.90, train acc: 0.56 (std 0.00), valid loss: 0.97, valid acc: 0.52 (std 0.01), test loss: 0.78, test acc: 0.64 (std 0.01)
