Epochs 000, train loss: 3.80, train acc: -0.37, valid loss: 1.55, valid acc: -0.88, test loss: 1.56, test acc: -0.81
Epochs 001, train loss: 5.42, train acc: -0.35, valid loss: 6.38, valid acc: -0.72, test loss: 6.40, test acc: -0.66
Epochs 002, train loss: 6.77, train acc: -0.27, valid loss: 6.45, valid acc: 0.00, test loss: 6.63, test acc: 0.00
Epochs 003, train loss: 7.61, train acc: -0.27, valid loss: 5.00, valid acc: 0.00, test loss: 5.24, test acc: 0.00
Epochs 004, train loss: 7.93, train acc: -0.35, valid loss: 5.97, valid acc: -0.85, test loss: 6.11, test acc: -0.79
Epochs 005, train loss: 6.96, train acc: -0.26, valid loss: 7.44, valid acc: 0.00, test loss: 7.57, test acc: 0.00
Epochs 006, train loss: 7.35, train acc: -0.29, valid loss: 6.43, valid acc: 0.00, test loss: 6.61, test acc: 0.00
Epochs 007, train loss: 7.31, train acc: -0.35, valid loss: 8.92, valid acc: -0.68, test loss: 8.80, test acc: -0.62
Epochs 008, train loss: 7.85, train acc: -0.34, valid loss: 6.64, valid acc: 0.00, test loss: 6.79, test acc: 0.00
Epochs 009, train loss: 6.73, train acc: -0.30, valid loss: 7.15, valid acc: 0.00, test loss: 7.41, test acc: 0.00
Epochs 010, train loss: 6.91, train acc: -0.32, valid loss: 6.09, valid acc: -0.62, test loss: 6.04, test acc: -0.54
Epochs 011, train loss: 4.60, train acc: -0.26, valid loss: 6.67, valid acc: 0.00, test loss: 6.86, test acc: 0.00
Epochs 012, train loss: 6.66, train acc: -0.35, valid loss: 5.59, valid acc: -0.78, test loss: 5.60, test acc: -0.72
Epochs 013, train loss: 6.33, train acc: -0.27, valid loss: 5.27, valid acc: 0.00, test loss: 5.39, test acc: 0.00
Epochs 014, train loss: 4.78, train acc: -0.27, valid loss: 3.38, valid acc: -0.72, test loss: 3.42, test acc: -0.66
