Epochs 000, train loss: 1.33, train acc: -0.17, valid loss: 1.50, valid acc: -0.72, test loss: 1.50, test acc: -0.66
Epochs 001, train loss: 1.23, train acc: -0.00, valid loss: 1.24, valid acc: 0.00, test loss: 1.26, test acc: 0.00
Epochs 002, train loss: 1.21, train acc: -0.00, valid loss: 1.20, valid acc: 0.00, test loss: 1.21, test acc: 0.00
Epochs 003, train loss: 1.19, train acc: -0.00, valid loss: 1.18, valid acc: 0.00, test loss: 1.19, test acc: 0.00
Epochs 004, train loss: 1.14, train acc: 0.00, valid loss: 1.15, valid acc: 0.00, test loss: 1.16, test acc: 0.00
Epochs 005, train loss: 1.04, train acc: 0.14, valid loss: 1.09, valid acc: 0.06, test loss: 1.10, test acc: 0.06
Epochs 006, train loss: 1.02, train acc: 0.22, valid loss: 1.03, valid acc: 0.16, test loss: 1.06, test acc: 0.16
Epochs 007, train loss: 0.97, train acc: 0.28, valid loss: 0.99, valid acc: 0.20, test loss: 1.00, test acc: 0.20
Epochs 008, train loss: 0.98, train acc: 0.25, valid loss: 0.78, valid acc: 0.41, test loss: 0.79, test acc: 0.42
Epochs 009, train loss: 1.00, train acc: 0.24, valid loss: 0.97, valid acc: 0.11, test loss: 1.00, test acc: 0.11
Epochs 010, train loss: 0.96, train acc: 0.19, valid loss: 0.94, valid acc: 0.24, test loss: 0.96, test acc: 0.24
Epochs 011, train loss: 0.91, train acc: 0.29, valid loss: 0.93, valid acc: 0.31, test loss: 0.94, test acc: 0.32
Epochs 012, train loss: 0.82, train acc: 0.33, valid loss: 0.85, valid acc: 0.31, test loss: 0.87, test acc: 0.32
Epochs 013, train loss: 0.89, train acc: 0.23, valid loss: 0.69, valid acc: 0.38, test loss: 0.71, test acc: 0.38
Epochs 014, train loss: 0.92, train acc: 0.27, valid loss: 0.99, valid acc: 0.44, test loss: 0.99, test acc: 0.44
Epochs 015, train loss: 0.86, train acc: 0.30, valid loss: 0.91, valid acc: 0.37, test loss: 0.92, test acc: 0.38
Epochs 016, train loss: 0.82, train acc: 0.35, valid loss: 0.81, valid acc: 0.34, test loss: 0.83, test acc: 0.35
Epochs 017, train loss: 0.75, train acc: 0.36, valid loss: 0.77, valid acc: 0.34, test loss: 0.79, test acc: 0.35
Epochs 018, train loss: 2.42, train acc: 0.06, valid loss: 0.68, valid acc: 0.37, test loss: 0.70, test acc: 0.37
Epochs 019, train loss: 1.62, train acc: 0.07, valid loss: 2.15, valid acc: 0.00, test loss: 2.23, test acc: 0.00
Epochs 020, train loss: 1.02, train acc: 0.28, valid loss: 1.02, valid acc: 0.16, test loss: 1.05, test acc: 0.16
Epochs 021, train loss: 1.00, train acc: 0.32, valid loss: 1.05, valid acc: 0.37, test loss: 1.05, test acc: 0.38
Epochs 022, train loss: 0.93, train acc: 0.21, valid loss: 0.92, valid acc: 0.22, test loss: 0.93, test acc: 0.22
Epochs 023, train loss: 0.93, train acc: 0.20, valid loss: 0.91, valid acc: 0.19, test loss: 0.94, test acc: 0.19
Epochs 024, train loss: 0.91, train acc: 0.28, valid loss: 0.90, valid acc: 0.24, test loss: 0.91, test acc: 0.24
Epochs 025, train loss: 0.89, train acc: 0.28, valid loss: 0.88, valid acc: 0.28, test loss: 0.90, test acc: 0.28
Epochs 026, train loss: 0.87, train acc: 0.27, valid loss: 0.86, valid acc: 0.27, test loss: 0.88, test acc: 0.27
Epochs 027, train loss: 0.86, train acc: 0.28, valid loss: 0.85, valid acc: 0.27, test loss: 0.87, test acc: 0.27
