Epochs 000, train loss: 0.94, train acc: 0.53 (std 0.00), valid loss: 1.33, valid acc: 0.35 (std 0.02), test loss: 1.30, test acc: 0.37 (std 0.02)
Epochs 001, train loss: 0.93, train acc: 0.55 (std 0.00), valid loss: 0.96, valid acc: 0.55 (std 0.03), test loss: 0.80, test acc: 0.59 (std 0.03)
Epochs 002, train loss: 0.92, train acc: 0.55 (std 0.00), valid loss: 0.98, valid acc: 0.54 (std 0.03), test loss: 0.82, test acc: 0.60 (std 0.03)
Epochs 003, train loss: 0.92, train acc: 0.55 (std 0.00), valid loss: 0.97, valid acc: 0.54 (std 0.03), test loss: 0.82, test acc: 0.62 (std 0.02)
Epochs 004, train loss: 0.92, train acc: 0.55 (std 0.00), valid loss: 0.98, valid acc: 0.52 (std 0.03), test loss: 0.82, test acc: 0.59 (std 0.03)
Epochs 005, train loss: 0.92, train acc: 0.55 (std 0.00), valid loss: 0.96, valid acc: 0.54 (std 0.03), test loss: 0.82, test acc: 0.58 (std 0.03)
