Epochs 000, train loss: 0.86, train acc: 0.57 (std 0.00), valid loss: 1.38, valid acc: 0.27 (std 0.01), test loss: 1.40, test acc: 0.20 (std 0.01)
Epochs 001, train loss: 0.83, train acc: 0.58 (std 0.00), valid loss: 0.91, valid acc: 0.50 (std 0.01), test loss: 0.82, test acc: 0.63 (std 0.01)
Epochs 002, train loss: 0.83, train acc: 0.59 (std 0.00), valid loss: 0.91, valid acc: 0.51 (std 0.01), test loss: 0.78, test acc: 0.62 (std 0.01)
Epochs 003, train loss: 0.82, train acc: 0.59 (std 0.00), valid loss: 0.90, valid acc: 0.50 (std 0.01), test loss: 0.78, test acc: 0.61 (std 0.01)
Epochs 004, train loss: 0.82, train acc: 0.59 (std 0.00), valid loss: 0.91, valid acc: 0.50 (std 0.01), test loss: 0.76, test acc: 0.62 (std 0.01)
Epochs 005, train loss: 0.82, train acc: 0.59 (std 0.00), valid loss: 0.90, valid acc: 0.51 (std 0.01), test loss: 0.77, test acc: 0.62 (std 0.01)
Epochs 006, train loss: 0.82, train acc: 0.59 (std 0.00), valid loss: 0.91, valid acc: 0.50 (std 0.01), test loss: 0.76, test acc: 0.62 (std 0.01)
Epochs 007, train loss: 0.82, train acc: 0.59 (std 0.00), valid loss: 0.91, valid acc: 0.51 (std 0.01), test loss: 0.76, test acc: 0.62 (std 0.01)
Epochs 008, train loss: 0.82, train acc: 0.59 (std 0.00), valid loss: 0.92, valid acc: 0.51 (std 0.01), test loss: 0.78, test acc: 0.62 (std 0.01)
Epochs 009, train loss: 0.82, train acc: 0.59 (std 0.00), valid loss: 0.91, valid acc: 0.50 (std 0.01), test loss: 0.76, test acc: 0.62 (std 0.01)
