Epochs 000, train loss: 0.91, train acc: 0.54 (std 0.00), valid loss: 1.49, valid acc: 0.05 (std 0.01), test loss: 1.54, test acc: 0.02 (std 0.01)
Epochs 001, train loss: 0.88, train acc: 0.55 (std 0.00), valid loss: 0.92, valid acc: 0.51 (std 0.03), test loss: 0.77, test acc: 0.61 (std 0.03)
Epochs 002, train loss: 0.88, train acc: 0.56 (std 0.00), valid loss: 0.91, valid acc: 0.50 (std 0.03), test loss: 0.76, test acc: 0.60 (std 0.03)
Epochs 003, train loss: 0.88, train acc: 0.56 (std 0.00), valid loss: 0.90, valid acc: 0.54 (std 0.03), test loss: 0.78, test acc: 0.60 (std 0.03)
Epochs 004, train loss: 0.88, train acc: 0.56 (std 0.00), valid loss: 0.92, valid acc: 0.54 (std 0.03), test loss: 0.77, test acc: 0.61 (std 0.03)
Epochs 005, train loss: 0.88, train acc: 0.56 (std 0.00), valid loss: 0.92, valid acc: 0.53 (std 0.03), test loss: 0.77, test acc: 0.61 (std 0.03)
