Epochs 000, train loss: 0.97, train acc: 0.52 (std 0.00), valid loss: 1.33, valid acc: 0.36 (std 0.02), test loss: 1.40, test acc: 0.25 (std 0.02)
Epochs 001, train loss: 0.96, train acc: 0.53 (std 0.00), valid loss: 1.02, valid acc: 0.51 (std 0.03), test loss: 0.83, test acc: 0.61 (std 0.02)
Epochs 002, train loss: 0.95, train acc: 0.53 (std 0.00), valid loss: 1.04, valid acc: 0.50 (std 0.03), test loss: 0.84, test acc: 0.62 (std 0.02)
Epochs 003, train loss: 0.95, train acc: 0.53 (std 0.00), valid loss: 1.02, valid acc: 0.50 (std 0.03), test loss: 0.84, test acc: 0.60 (std 0.02)
Epochs 004, train loss: 0.96, train acc: 0.53 (std 0.00), valid loss: 1.02, valid acc: 0.53 (std 0.03), test loss: 0.84, test acc: 0.60 (std 0.02)
Epochs 005, train loss: 0.96, train acc: 0.53 (std 0.00), valid loss: 1.05, valid acc: 0.49 (std 0.03), test loss: 0.84, test acc: 0.60 (std 0.02)
Epochs 006, train loss: 0.96, train acc: 0.53 (std 0.00), valid loss: 1.06, valid acc: 0.50 (std 0.03), test loss: 0.84, test acc: 0.60 (std 0.02)
Epochs 007, train loss: 0.96, train acc: 0.53 (std 0.00), valid loss: 1.01, valid acc: 0.51 (std 0.03), test loss: 0.85, test acc: 0.59 (std 0.02)
