Epochs 000, train loss: 0.95, train acc: 0.52 (std 0.00), valid loss: 1.40, valid acc: 0.17 (std 0.02), test loss: 1.40, test acc: 0.23 (std 0.02)
Epochs 001, train loss: 0.93, train acc: 0.54 (std 0.00), valid loss: 0.96, valid acc: 0.51 (std 0.03), test loss: 0.82, test acc: 0.61 (std 0.03)
Epochs 002, train loss: 0.93, train acc: 0.54 (std 0.00), valid loss: 0.97, valid acc: 0.52 (std 0.03), test loss: 0.83, test acc: 0.59 (std 0.03)
Epochs 003, train loss: 0.92, train acc: 0.55 (std 0.00), valid loss: 0.99, valid acc: 0.54 (std 0.03), test loss: 0.82, test acc: 0.59 (std 0.03)
Epochs 004, train loss: 0.93, train acc: 0.54 (std 0.00), valid loss: 0.98, valid acc: 0.53 (std 0.03), test loss: 0.80, test acc: 0.60 (std 0.03)
Epochs 005, train loss: 0.93, train acc: 0.54 (std 0.00), valid loss: 1.04, valid acc: 0.46 (std 0.03), test loss: 0.89, test acc: 0.53 (std 0.03)
