Epochs 000, train loss: 1.41, train acc: -0.77, valid loss: 1.41, valid acc: -0.84, test loss: 1.41, test acc: -0.77
Epochs 001, train loss: 1.41, train acc: -0.77, valid loss: 1.41, valid acc: -0.84, test loss: 1.41, test acc: -0.77
Epochs 002, train loss: 1.41, train acc: -0.77, valid loss: 1.41, valid acc: -0.84, test loss: 1.41, test acc: -0.77
Epochs 003, train loss: 1.41, train acc: -0.77, valid loss: 1.41, valid acc: -0.84, test loss: 1.41, test acc: -0.77
Epochs 004, train loss: 1.41, train acc: -0.77, valid loss: 1.41, valid acc: -0.84, test loss: 1.41, test acc: -0.77
Epochs 005, train loss: 1.41, train acc: -0.77, valid loss: 1.41, valid acc: -0.84, test loss: 1.41, test acc: -0.77
Epochs 006, train loss: 1.41, train acc: -0.77, valid loss: 1.40, valid acc: -0.84, test loss: 1.41, test acc: -0.77
Epochs 007, train loss: 1.40, train acc: -0.77, valid loss: 1.40, valid acc: -0.84, test loss: 1.41, test acc: -0.77
Epochs 008, train loss: 1.40, train acc: -0.77, valid loss: 1.40, valid acc: -0.84, test loss: 1.41, test acc: -0.77
Epochs 009, train loss: 1.40, train acc: -0.77, valid loss: 1.40, valid acc: -0.84, test loss: 1.41, test acc: -0.78
Epochs 010, train loss: 1.40, train acc: -0.78, valid loss: 1.40, valid acc: -0.84, test loss: 1.41, test acc: -0.78
Epochs 011, train loss: 1.40, train acc: -0.80, valid loss: 1.40, valid acc: -0.86, test loss: 1.41, test acc: -0.80
Epochs 012, train loss: 1.40, train acc: -0.80, valid loss: 1.40, valid acc: -0.86, test loss: 1.40, test acc: -0.80
Epochs 013, train loss: 1.40, train acc: -0.80, valid loss: 1.40, valid acc: -0.86, test loss: 1.40, test acc: -0.80
Epochs 014, train loss: 1.40, train acc: -0.79, valid loss: 1.40, valid acc: -0.86, test loss: 1.40, test acc: -0.80
