Epochs 000, train loss: 1.39, train acc: -0.46, valid loss: 1.46, valid acc: -0.76, test loss: 1.46, test acc: -0.69
Epochs 001, train loss: 1.28, train acc: 0.00, valid loss: 1.31, valid acc: 0.00, test loss: 1.32, test acc: 0.00
Epochs 002, train loss: 1.24, train acc: -0.00, valid loss: 1.23, valid acc: 0.00, test loss: 1.24, test acc: 0.00
Epochs 003, train loss: 1.23, train acc: -0.00, valid loss: 1.21, valid acc: 0.00, test loss: 1.23, test acc: 0.00
Epochs 004, train loss: 1.22, train acc: 0.00, valid loss: 1.21, valid acc: 0.00, test loss: 1.22, test acc: 0.00
Epochs 005, train loss: 1.22, train acc: -0.00, valid loss: 1.21, valid acc: 0.00, test loss: 1.22, test acc: 0.00
Epochs 006, train loss: 1.22, train acc: -0.00, valid loss: 1.20, valid acc: 0.00, test loss: 1.22, test acc: 0.00
Epochs 007, train loss: 1.20, train acc: 0.01, valid loss: 1.19, valid acc: 0.00, test loss: 1.21, test acc: 0.00
Epochs 008, train loss: 1.22, train acc: 0.05, valid loss: 1.25, valid acc: 0.00, test loss: 1.28, test acc: 0.00
Epochs 009, train loss: 1.22, train acc: 0.01, valid loss: 1.23, valid acc: 0.36, test loss: 1.23, test acc: 0.37
Epochs 010, train loss: 1.23, train acc: -0.04, valid loss: 1.16, valid acc: 0.00, test loss: 1.18, test acc: 0.00
Epochs 011, train loss: 1.22, train acc: -0.00, valid loss: 1.16, valid acc: 0.00, test loss: 1.18, test acc: 0.00
Epochs 012, train loss: 1.18, train acc: 0.08, valid loss: 1.19, valid acc: 0.00, test loss: 1.21, test acc: 0.00
Epochs 013, train loss: 1.18, train acc: 0.00, valid loss: 1.11, valid acc: 0.00, test loss: 1.13, test acc: 0.00
Epochs 014, train loss: 1.17, train acc: 0.03, valid loss: 1.08, valid acc: 0.09, test loss: 1.10, test acc: 0.09
