Epochs 000, train loss: 1.43, train acc: -0.77, valid loss: 1.43, valid acc: -0.84, test loss: 1.43, test acc: -0.77
Epochs 001, train loss: 1.42, train acc: -0.77, valid loss: 1.42, valid acc: -0.84, test loss: 1.42, test acc: -0.77
Epochs 002, train loss: 1.42, train acc: -0.77, valid loss: 1.42, valid acc: -0.84, test loss: 1.42, test acc: -0.77
Epochs 003, train loss: 1.41, train acc: -0.77, valid loss: 1.41, valid acc: -0.84, test loss: 1.41, test acc: -0.77
Epochs 004, train loss: 1.40, train acc: -0.77, valid loss: 1.40, valid acc: -0.84, test loss: 1.40, test acc: -0.77
Epochs 005, train loss: 1.38, train acc: -0.84, valid loss: 1.38, valid acc: -0.86, test loss: 1.38, test acc: -0.80
Epochs 006, train loss: 1.36, train acc: -0.04, valid loss: 1.36, valid acc: -0.96, test loss: 1.36, test acc: -0.90
Epochs 007, train loss: 1.34, train acc: 0.00, valid loss: 1.34, valid acc: 0.00, test loss: 1.34, test acc: 0.00
Epochs 008, train loss: 1.31, train acc: 0.00, valid loss: 1.32, valid acc: 0.00, test loss: 1.32, test acc: 0.00
Epochs 009, train loss: 1.29, train acc: -0.00, valid loss: 1.29, valid acc: 0.00, test loss: 1.30, test acc: 0.00
Epochs 010, train loss: 1.27, train acc: 0.00, valid loss: 1.27, valid acc: 0.00, test loss: 1.28, test acc: 0.00
Epochs 011, train loss: 1.25, train acc: 0.00, valid loss: 1.25, valid acc: 0.00, test loss: 1.26, test acc: 0.00
Epochs 012, train loss: 1.24, train acc: -0.00, valid loss: 1.23, valid acc: 0.00, test loss: 1.24, test acc: 0.00
Epochs 013, train loss: 1.23, train acc: 0.00, valid loss: 1.22, valid acc: 0.00, test loss: 1.23, test acc: 0.00
Epochs 014, train loss: 1.23, train acc: -0.00, valid loss: 1.21, valid acc: 0.00, test loss: 1.23, test acc: 0.00
