Epochs 000, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.40, valid acc: 0.25 (std 0.02), test loss: 1.39, test acc: 0.25 (std 0.02)
Epochs 001, train loss: 1.04, train acc: 0.46 (std 0.00), valid loss: 1.11, valid acc: 0.42 (std 0.02), test loss: 0.97, test acc: 0.51 (std 0.03)
Epochs 002, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.15, valid acc: 0.39 (std 0.02), test loss: 0.97, test acc: 0.53 (std 0.03)
Epochs 003, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.16, valid acc: 0.40 (std 0.02), test loss: 0.97, test acc: 0.54 (std 0.03)
Epochs 004, train loss: 1.05, train acc: 0.46 (std 0.00), valid loss: 1.17, valid acc: 0.40 (std 0.02), test loss: 0.98, test acc: 0.53 (std 0.03)
