Epochs 000, train loss: 0.92, train acc: 0.54, valid loss: 1.45, valid acc: 0.09, test loss: 1.45, test acc: 0.09
Epochs 001, train loss: 0.90, train acc: 0.55, valid loss: 0.95, valid acc: 0.46, test loss: 1.01, test acc: 0.51
Epochs 002, train loss: 0.89, train acc: 0.56, valid loss: 0.96, valid acc: 0.45, test loss: 0.98, test acc: 0.56
Epochs 003, train loss: 0.89, train acc: 0.56, valid loss: 0.96, valid acc: 0.42, test loss: 0.95, test acc: 0.56
Epochs 004, train loss: 0.89, train acc: 0.56, valid loss: 0.95, valid acc: 0.46, test loss: 1.01, test acc: 0.51
Epochs 005, train loss: 0.89, train acc: 0.56, valid loss: 0.99, valid acc: 0.42, test loss: 1.05, test acc: 0.50
Epochs 006, train loss: 0.89, train acc: 0.56, valid loss: 0.95, valid acc: 0.47, test loss: 1.02, test acc: 0.51
Epochs 007, train loss: 0.89, train acc: 0.56, valid loss: 0.94, valid acc: 0.46, test loss: 0.98, test acc: 0.53
Epochs 008, train loss: 0.89, train acc: 0.56, valid loss: 0.99, valid acc: 0.43, test loss: 0.94, test acc: 0.54
Epochs 009, train loss: 0.90, train acc: 0.56, valid loss: 1.06, valid acc: 0.41, test loss: 0.90, test acc: 0.54
Epochs 010, train loss: 0.89, train acc: 0.56, valid loss: 0.96, valid acc: 0.48, test loss: 0.97, test acc: 0.54
Epochs 011, train loss: 0.89, train acc: 0.56, valid loss: 0.92, valid acc: 0.49, test loss: 1.00, test acc: 0.52
Epochs 012, train loss: 0.89, train acc: 0.56, valid loss: 1.03, valid acc: 0.40, test loss: 0.92, test acc: 0.52
Epochs 013, train loss: 0.89, train acc: 0.56, valid loss: 0.93, valid acc: 0.48, test loss: 1.02, test acc: 0.51
Epochs 014, train loss: 0.89, train acc: 0.56, valid loss: 0.94, valid acc: 0.51, test loss: 1.02, test acc: 0.52
