Epochs 000, train loss: 0.94, train acc: 0.52 (std 0.00), valid loss: 1.48, valid acc: 0.18 (std 0.02), test loss: 1.47, test acc: 0.17 (std 0.02)
Epochs 001, train loss: 0.93, train acc: 0.53 (std 0.00), valid loss: 0.95, valid acc: 0.50 (std 0.03), test loss: 0.78, test acc: 0.62 (std 0.03)
Epochs 002, train loss: 0.92, train acc: 0.53 (std 0.00), valid loss: 0.99, valid acc: 0.47 (std 0.03), test loss: 0.82, test acc: 0.60 (std 0.03)
Epochs 003, train loss: 0.92, train acc: 0.54 (std 0.00), valid loss: 0.99, valid acc: 0.49 (std 0.03), test loss: 0.79, test acc: 0.63 (std 0.03)
Epochs 004, train loss: 0.92, train acc: 0.54 (std 0.00), valid loss: 0.95, valid acc: 0.53 (std 0.03), test loss: 0.81, test acc: 0.61 (std 0.03)
Epochs 005, train loss: 0.91, train acc: 0.54 (std 0.00), valid loss: 0.97, valid acc: 0.53 (std 0.03), test loss: 0.78, test acc: 0.63 (std 0.02)
