Epochs 000, train loss: 1.36, train acc: -0.02, valid loss: 1.37, valid acc: -0.23, test loss: 1.37, test acc: -0.20
Epochs 001, train loss: 1.33, train acc: 0.17, valid loss: 1.34, valid acc: 0.17, test loss: 1.34, test acc: 0.18
Epochs 002, train loss: 1.29, train acc: 0.17, valid loss: 1.30, valid acc: 0.16, test loss: 1.29, test acc: 0.17
Epochs 003, train loss: 1.27, train acc: 0.16, valid loss: 1.27, valid acc: 0.16, test loss: 1.26, test acc: 0.17
Epochs 004, train loss: 1.24, train acc: 0.18, valid loss: 1.25, valid acc: 0.17, test loss: 1.24, test acc: 0.18
Epochs 005, train loss: 1.22, train acc: 0.18, valid loss: 1.22, valid acc: 0.17, test loss: 1.22, test acc: 0.18
Epochs 006, train loss: 1.20, train acc: 0.19, valid loss: 1.21, valid acc: 0.18, test loss: 1.20, test acc: 0.19
Epochs 007, train loss: 1.19, train acc: 0.19, valid loss: 1.19, valid acc: 0.19, test loss: 1.18, test acc: 0.19
Epochs 008, train loss: 1.17, train acc: 0.19, valid loss: 1.17, valid acc: 0.19, test loss: 1.17, test acc: 0.20
Epochs 009, train loss: 1.16, train acc: 0.19, valid loss: 1.16, valid acc: 0.19, test loss: 1.15, test acc: 0.20
Epochs 010, train loss: 1.15, train acc: 0.19, valid loss: 1.14, valid acc: 0.19, test loss: 1.14, test acc: 0.20
Epochs 011, train loss: 1.13, train acc: 0.20, valid loss: 1.13, valid acc: 0.20, test loss: 1.13, test acc: 0.20
Epochs 012, train loss: 1.12, train acc: 0.19, valid loss: 1.12, valid acc: 0.20, test loss: 1.12, test acc: 0.21
Epochs 013, train loss: 1.11, train acc: 0.20, valid loss: 1.11, valid acc: 0.20, test loss: 1.10, test acc: 0.21
Epochs 014, train loss: 1.10, train acc: 0.21, valid loss: 1.10, valid acc: 0.21, test loss: 1.09, test acc: 0.21
