Epochs 000, train loss: 0.94, train acc: 0.52 (std 0.00), valid loss: 1.37, valid acc: 0.22 (std 0.02), test loss: 1.35, test acc: 0.26 (std 0.02)
Epochs 001, train loss: 0.92, train acc: 0.54 (std 0.00), valid loss: 0.96, valid acc: 0.53 (std 0.03), test loss: 0.83, test acc: 0.59 (std 0.03)
Epochs 002, train loss: 0.91, train acc: 0.54 (std 0.00), valid loss: 0.96, valid acc: 0.53 (std 0.03), test loss: 0.79, test acc: 0.59 (std 0.03)
Epochs 003, train loss: 0.91, train acc: 0.55 (std 0.00), valid loss: 0.96, valid acc: 0.53 (std 0.03), test loss: 0.81, test acc: 0.59 (std 0.03)
Epochs 004, train loss: 0.91, train acc: 0.55 (std 0.00), valid loss: 0.96, valid acc: 0.53 (std 0.03), test loss: 0.82, test acc: 0.58 (std 0.03)
Epochs 005, train loss: 0.91, train acc: 0.55 (std 0.00), valid loss: 0.96, valid acc: 0.53 (std 0.03), test loss: 0.81, test acc: 0.59 (std 0.03)
