Epochs 000, train loss: 1.16, train acc: 0.44 (std 0.00), valid loss: 1.39, valid acc: 0.15 (std 0.01), test loss: 1.39, test acc: 0.20 (std 0.01)
Epochs 001, train loss: 1.17, train acc: 0.41 (std 0.00), valid loss: 1.08, valid acc: 0.45 (std 0.01), test loss: 0.97, test acc: 0.48 (std 0.01)
Epochs 002, train loss: 1.15, train acc: 0.42 (std 0.00), valid loss: 1.03, valid acc: 0.44 (std 0.01), test loss: 0.96, test acc: 0.49 (std 0.01)
Epochs 003, train loss: 1.17, train acc: 0.41 (std 0.00), valid loss: 1.08, valid acc: 0.44 (std 0.01), test loss: 0.98, test acc: 0.48 (std 0.01)
Epochs 004, train loss: 1.17, train acc: 0.41 (std 0.00), valid loss: 1.07, valid acc: 0.43 (std 0.01), test loss: 1.01, test acc: 0.47 (std 0.01)
Epochs 005, train loss: 1.18, train acc: 0.41 (std 0.00), valid loss: 1.02, valid acc: 0.43 (std 0.01), test loss: 0.97, test acc: 0.49 (std 0.01)
Epochs 006, train loss: 1.20, train acc: 0.40 (std 0.00), valid loss: 1.07, valid acc: 0.45 (std 0.01), test loss: 0.99, test acc: 0.46 (std 0.01)
Epochs 007, train loss: 1.17, train acc: 0.41 (std 0.00), valid loss: 1.12, valid acc: 0.42 (std 0.01), test loss: 1.04, test acc: 0.46 (std 0.01)
Epochs 008, train loss: 1.17, train acc: 0.41 (std 0.00), valid loss: 1.03, valid acc: 0.43 (std 0.01), test loss: 0.97, test acc: 0.50 (std 0.01)
Epochs 009, train loss: 1.18, train acc: 0.41 (std 0.00), valid loss: 1.03, valid acc: 0.44 (std 0.01), test loss: 0.98, test acc: 0.47 (std 0.01)
